[DEBUG] 20-Apr-21 12:57:22:349] [DEBUG] [logging:158] - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[DEBUG] 20-Apr-21 12:57:22:437] [DEBUG] [HibernatePersistenceProvider:88] - Located and parsed 1 persistence units; checking each
[DEBUG] 20-Apr-21 12:57:22:437] [DEBUG] [HibernatePersistenceProvider:96] - Checking persistence-unit [name=my-persistence, explicit-provider=org.hibernate.jpa.HibernatePersistenceProvider] against incoming persistence unit name [my-persistence]
[DEBUG] 20-Apr-21 12:57:22:438] [DEBUG] [ProviderChecker:86] - Persistence-unit [my-persistence] requested PersistenceProvider [org.hibernate.jpa.HibernatePersistenceProvider]
[DEBUG] 20-Apr-21 12:57:22:443] [DEBUG] [LogHelper:102] - PersistenceUnitInfo [
	name: my-persistence
	persistence provider classname: org.hibernate.jpa.HibernatePersistenceProvider
	classloader: null
	excludeUnlistedClasses: false
	JTA datasource: null
	Non JTA datasource: null
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/C:/Users/bruno/IdeaProjects/HibernateProject/target/classes/
	Shared Cache Mode: null
	Validation Mode: null
	Jar files URLs []
	Managed classes names []
	Mapping files names []
	Properties [
		javax.persistence.jdbc.user: bmilitzer
		packagesToScan: br.com.brunomilitzer.hibernate
		hibernate.dialect: org.hibernate.dialect.MySQL8Dialect
		hibernate.transaction.jta.platform: org.hibernate.dialect.MySQL8Dialect
		javax.persistence.jdbc.url: jdbc:mysql://localhost:3308/hibernate?useSSL=false&serverTimezone=UTC
		hibernate.format_sql: false
		javax.persistence.jdbc.driver: com.mysql.cj.jdbc.Driver
		hibernate.generate_statistics: true
		hibernate.show_sql: false
		javax.persistence.schema-generation.database.action: update
		javax.persistence.jdbc.password: s8mbt10a]
[DEBUG] 20-Apr-21 12:57:22:448] [DEBUG] [IntegratorServiceImpl:46] - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 20-Apr-21 12:57:22:450] [DEBUG] [IntegratorServiceImpl:46] - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 20-Apr-21 12:57:22:453] [DEBUG] [IntegratorServiceImpl:46] - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 20-Apr-21 12:57:22:508] [INFO] [Version:44] - HHH000412: Hibernate ORM core version 5.4.14.Final
[DEBUG] 20-Apr-21 12:57:22:509] [DEBUG] [Environment:199] - HHH000206: hibernate.properties not found
[DEBUG] 20-Apr-21 12:57:22:607] [DEBUG] [ServiceBinding:68] - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 20-Apr-21 12:57:22:620] [DEBUG] [RegionFactoryInitiator:118] - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 20-Apr-21 12:57:22:621] [DEBUG] [RegionFactoryInitiator:49] - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 20-Apr-21 12:57:22:637] [INFO] [Version:49] - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 20-Apr-21 12:57:22:689] [DEBUG] [BasicTypeRegistry:157] - Adding type registration boolean -> org.hibernate.type.BooleanType@271f18d3
[DEBUG] 20-Apr-21 12:57:22:690] [DEBUG] [BasicTypeRegistry:157] - Adding type registration boolean -> org.hibernate.type.BooleanType@271f18d3
[DEBUG] 20-Apr-21 12:57:22:690] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@271f18d3
[DEBUG] 20-Apr-21 12:57:22:691] [DEBUG] [BasicTypeRegistry:157] - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@eadb475
[DEBUG] 20-Apr-21 12:57:22:691] [DEBUG] [BasicTypeRegistry:157] - Adding type registration true_false -> org.hibernate.type.TrueFalseType@5cad8b7d
[DEBUG] 20-Apr-21 12:57:22:692] [DEBUG] [BasicTypeRegistry:157] - Adding type registration yes_no -> org.hibernate.type.YesNoType@2e6ee0bc
[DEBUG] 20-Apr-21 12:57:22:693] [DEBUG] [BasicTypeRegistry:157] - Adding type registration byte -> org.hibernate.type.ByteType@7a34b7b8
[DEBUG] 20-Apr-21 12:57:22:693] [DEBUG] [BasicTypeRegistry:157] - Adding type registration byte -> org.hibernate.type.ByteType@7a34b7b8
[DEBUG] 20-Apr-21 12:57:22:694] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7a34b7b8
[DEBUG] 20-Apr-21 12:57:22:695] [DEBUG] [BasicTypeRegistry:157] - Adding type registration character -> org.hibernate.type.CharacterType@85ec632
[DEBUG] 20-Apr-21 12:57:22:695] [DEBUG] [BasicTypeRegistry:157] - Adding type registration char -> org.hibernate.type.CharacterType@85ec632
[DEBUG] 20-Apr-21 12:57:22:695] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@85ec632
[DEBUG] 20-Apr-21 12:57:22:696] [DEBUG] [BasicTypeRegistry:157] - Adding type registration short -> org.hibernate.type.ShortType@1c4ee95c
[DEBUG] 20-Apr-21 12:57:22:697] [DEBUG] [BasicTypeRegistry:157] - Adding type registration short -> org.hibernate.type.ShortType@1c4ee95c
[DEBUG] 20-Apr-21 12:57:22:697] [DEBUG] [BasicTypeRegistry:157] - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@1c4ee95c
[DEBUG] 20-Apr-21 12:57:22:698] [DEBUG] [BasicTypeRegistry:157] - Adding type registration integer -> org.hibernate.type.IntegerType@35e52059
[DEBUG] 20-Apr-21 12:57:22:698] [DEBUG] [BasicTypeRegistry:157] - Adding type registration int -> org.hibernate.type.IntegerType@35e52059
